X Gaze Data, Y Gaze Data, Time 
1114,520,866488000
1114,520,866488010
1112,518,866488023
1111,519,866488039
1111,520,866488043
1111,517,866488070
1039,521,866488077
1071,518,866488089
908,528,866488102
893,529,866488111
880,530,866488123
870,531,866488134
858,531,866488144
820,534,866488156
826,534,866488182
811,536,866488189
811,537,866488200
812,537,866488214
812,537,866488223
812,537,866488233
810,538,866488246
810,538,866488256
812,535,866488267
812,534,866488291
806,539,866488300
806,539,866488311
807,539,866488338
810,541,866488344
809,541,866488356
804,536,866488370
804,536,866488377
805,537,866488389
804,535,866488401
805,535,866488410
807,536,866488423
819,536,866488448
844,541,866488456
846,542,866488466
847,542,866488480
850,541,866488489
851,538,866488500
852,538,866488526
850,538,866488533
850,538,866488544
850,537,866488556
850,536,866488572
850,536,866488577
850,536,866488604
851,538,866488610
851,539,866488622
849,537,866488635
852,536,866488644
852,537,866488656
862,538,866488667
875,536,866488677
881,533,866488689
882,533,866488714
889,531,866488722
890,530,866488733
891,530,866488744
891,532,866488759
891,533,866488766
892,536,866488790
893,537,866488800
893,537,866488810
893,538,866488836
893,539,866488843
893,539,866488856
895,539,866488867
896,539,866488877
897,538,866488889
896,538,866488900
895,538,866488913
895,538,866488922
897,538,866488933
899,538,866488945
910,540,866488955
913,540,866488966
913,539,866488977
912,538,866488989
916,539,866488999
917,539,866489010
917,538,866489023
916,534,866489032
915,531,866489043
914,529,866489070
912,534,866489077
913,531,866489088
912,531,866489101
913,529,866489110
914,528,866489122
915,527,866489147
1034,521,866489155
1040,520,866489166
1042,520,866489179
1054,519,866489189
1058,518,866489199
1060,518,866489210
1060,517,866489225
1060,517,866489232
1063,517,866489243
1065,518,866489257
1065,518,866489266
1065,518,866489276
1066,515,866489289
1065,515,866489303
1065,515,866489310
1065,515,866489322
1065,515,866489335
1064,519,866489343
1064,520,866489355
1063,517,866489366
1063,517,866489377
1060,512,866489389
1056,509,866489399
1051,510,866489413
1039,509,866489422
1037,509,866489432
1033,509,866489459
1017,507,866489466
1008,507,866489490
1005,508,866489499
1004,509,866489510
1005,510,866489536
1005,509,866489543
1005,507,866489555
1004,507,866489568
1007,509,866489576
1009,510,866489588
1010,510,866489600
1010,510,866489610
1008,510,866489622
1008,509,866489645
1008,509,866489655
1007,509,866489665
1007,509,866489677
1004,509,866489688
1003,509,866489699
992,510,866489724
969,509,866489732
967,509,866489742
963,513,866489755
960,513,866489771
959,514,866489776
957,511,866489788
959,510,866489801
960,510,866489810
960,510,866489822
960,512,866489848
960,513,866489855
960,513,866489865
958,513,866489879
958,513,866489888
958,514,866489899
957,515,866489910
957,515,866489921
958,515,866489932
958,515,866489958
954,515,866489965
953,515,866489976
954,515,866489989
961,512,866489999
962,513,866490009
962,514,866490036
970,516,866490043
980,512,866490055
981,510,866490066
981,509,866490076
980,507,866490088
981,507,866490114
985,507,866490121
985,508,866490132
987,507,866490143
988,507,866490159
991,509,866490165
992,509,866490191
991,511,866490198
991,513,866490209
990,514,866490222
990,517,866490232
998,515,866490243
1001,515,866490270
1053,514,866490276
1059,513,866490288
1061,512,866490301
1066,512,866490309
1067,512,866490321
1064,511,866490332
1075,510,866490342
1075,512,866490355
1072,514,866490365
1071,515,866490378
1068,514,866490388
1066,514,866490398
1067,514,866490425
1071,513,866490432
1073,512,866490455
1075,514,866490465
1075,512,866490476
1076,509,866490502
1079,508,866490509
1079,508,866490521
1079,509,866490534
1079,509,866490542
1073,510,866490554
1072,510,866490565
1071,511,866490576
1070,512,866490588
1070,513,866490612
1069,515,866490621
1073,512,866490631
1075,510,866490644
1071,513,866490655
1071,516,866490665
1071,516,866490676
1072,515,866490692
1075,509,866490698
1075,509,866490709
1075,510,866490722
1074,513,866490731
1074,513,866490742
1075,512,866490769
953,514,866490776
932,515,866490787
904,516,866490800
887,517,866490809
869,517,866490821
850,516,866490832
838,515,866490842
836,516,866490854
828,516,866490880
822,518,866490887
821,518,866490898
820,518,866490911
819,519,866490921
819,519,866490931
819,522,866490957
822,526,866490963
826,529,866490989
831,517,866491021
931,618,866491030
935,633,866491040
1020,712,866491053
963,641,866491063
947,623,866491074
848,512,866491085
851,520,866491099
850,518,866491109
852,518,866491120
859,532,866491146
860,530,866491154
856,527,866491165
860,530,866491177
862,527,866491188
862,529,866491198
862,528,866491209
863,526,866491221
865,523,866491231
866,523,866491242
867,523,866491255
867,522,866491264
868,522,866491275
868,521,866491302
892,522,866491309
899,523,866491320
899,523,866491333
899,523,866491342
902,525,866491354
903,526,866491364
903,526,866491375
904,527,866491387
903,528,866491398
902,528,866491409
902,528,866491421
903,526,866491431
904,525,866491442
904,526,866491458
903,525,866491464
902,525,866491475
901,526,866491489
900,525,866491498
900,525,866491508
900,525,866491536
900,526,866491542
899,529,866491554
898,534,866491566
900,531,866491575
899,527,866491587
898,526,866491598
898,526,866491608
897,528,866491620
896,528,866491646
894,525,866491654
895,527,866491664
895,525,866491677
896,527,866491687
926,530,866491697
925,530,866491709
927,529,866491720
940,527,866491731
944,527,866491757
950,524,866491764
951,524,866491775
953,525,866491789
953,523,866491797
952,522,866491808
951,521,866491835
951,521,866491841
951,520,866491854
954,523,866491866
954,524,866491875
953,525,866491887
953,528,866491897
954,531,866491908
955,533,866491920
960,529,866491945
964,525,866491954
964,524,866491964
965,524,866491976
965,525,866491987
961,524,866491997
961,524,866492022
959,525,866492030
953,526,866492041
954,529,866492054
950,529,866492064
946,528,866492075
923,529,866492087
922,529,866492100
921,529,866492108
916,528,866492120
913,528,866492131
912,529,866492141
909,531,866492153
908,531,866492178
912,533,866492187
913,533,866492197
913,533,866492210
913,534,866492220
911,536,866492230
911,536,866492242
914,537,866492253
916,534,866492264
917,534,866492275
916,534,866492288
915,535,866492297
915,535,866492308
913,536,866492320
915,534,866492333
916,530,866492341
915,531,866492353
913,530,866492366
913,530,866492374
913,531,866492386
912,530,866492398
912,531,866492408
913,531,866492420
914,533,866492445
914,533,866492453
914,534,866492464
914,533,866492476
914,533,866492486
907,522,866492497
907,522,866492522
905,518,866492523
904,517,866492530
902,516,866492541
900,516,866492554
900,515,866492563
900,515,866492574
899,515,866492601
901,516,866492607
902,517,866492620
901,515,866492632
901,515,866492641
900,515,866492653
900,514,866492678
900,514,866492686
901,514,866492697
902,515,866492709
902,515,866492720
900,516,866492730
899,516,866492757
894,514,866492763
895,515,866492774
894,515,866492786
894,516,866492797
894,517,866492807
894,516,866492833
893,518,866492841
891,516,866492853
893,518,866492865
862,520,866492874
866,520,866492886
858,521,866492897
850,522,866492907
835,524,866492919
829,524,866492943
809,523,866492953
804,523,866492963
801,523,866492975
810,524,866492986
810,523,866492996
810,523,866493022
811,517,866493030
811,517,866493041
811,518,866493053
811,520,866493063
811,522,866493074
811,522,866493086
